num_entries,test_id,search_area,runtime,solved,notes,token_count,quote_count
100,100_snowflakes_0_attempt-0,0,2,True,,0,0
100,100_snowflakes_0_attempt-1,0,5,True,,22,1
100,100_snowflakes_0_attempt-2,0,3,True,,0,0
100,100_snowflakes_0_attempt-3,0,4,True,,37,1
100,100_snowflakes_0_attempt-4,0,4,True,,49,1
100,100_snowflakes_0_attempt-5,0,4,True,,37,1
100,100_snowflakes_0_attempt-6,0,3,True,,19,1
100,100_snowflakes_0_attempt-7,0,2,True,,0,0
100,100_snowflakes_0_attempt-8,0,4,True,,30,1
100,100_snowflakes_0_attempt-9,0,4,True,,37,1
100,100_snowflakes_1_attempt-0,1,4,True,,51,1
100,100_snowflakes_1_attempt-1,1,5,True,,51,1
100,100_snowflakes_1_attempt-2,1,5,True,,51,1
100,100_snowflakes_1_attempt-3,1,5,True,,63,1
100,100_snowflakes_1_attempt-4,1,3,True,,0,0
100,100_snowflakes_1_attempt-5,1,3,True,,63,1
100,100_snowflakes_1_attempt-6,1,5,True,,51,1
100,100_snowflakes_1_attempt-7,1,5,True,,51,1
100,100_snowflakes_1_attempt-8,1,4,True,,63,1
100,100_snowflakes_1_attempt-9,1,4,True,,51,1
100,100_snowflakes_2_attempt-0,2,4,True,,25,1
100,100_snowflakes_2_attempt-1,2,4,True,,25,1
100,100_snowflakes_2_attempt-2,2,2,True,,0,0
100,100_snowflakes_2_attempt-3,2,4,True,,25,1
100,100_snowflakes_2_attempt-4,2,4,True,,25,1
100,100_snowflakes_2_attempt-5,2,5,True,,31,1
100,100_snowflakes_2_attempt-6,2,4,True,,31,1
100,100_snowflakes_2_attempt-7,2,3,True,,25,1
100,100_snowflakes_2_attempt-8,2,5,True,,31,1
100,100_snowflakes_2_attempt-9,2,3,True,,25,1
1000,1000_snowflakes_0_attempt-0,0,4,True,,37,1
1000,1000_snowflakes_0_attempt-1,0,5,True,,22,1
1000,1000_snowflakes_0_attempt-2,0,3,True,,37,1
1000,1000_snowflakes_0_attempt-3,0,3,True,,37,1
1000,1000_snowflakes_0_attempt-4,0,4,True,,49,1
1000,1000_snowflakes_0_attempt-5,0,3,True,,37,1
1000,1000_snowflakes_0_attempt-6,0,3,True,,22,1
1000,1000_snowflakes_0_attempt-7,0,3,True,,22,1
1000,1000_snowflakes_0_attempt-8,0,3,True,,22,1
1000,1000_snowflakes_0_attempt-9,0,3,True,,19,1
1000,1000_snowflakes_1_attempt-0,1,4,True,,63,1
1000,1000_snowflakes_1_attempt-1,1,3,True,,51,1
1000,1000_snowflakes_1_attempt-2,1,4,True,,51,1
1000,1000_snowflakes_1_attempt-3,1,3,True,,0,0
1000,1000_snowflakes_1_attempt-4,1,4,True,,26,1
1000,1000_snowflakes_1_attempt-5,1,3,True,,63,1
1000,1000_snowflakes_1_attempt-6,1,4,True,,51,1
1000,1000_snowflakes_1_attempt-7,1,3,True,,0,0
1000,1000_snowflakes_1_attempt-8,1,4,True,,51,1
1000,1000_snowflakes_1_attempt-9,1,3,True,,0,0
1000,1000_snowflakes_2_attempt-0,2,5,True,,25,1
1000,1000_snowflakes_2_attempt-1,2,4,True,,25,1
1000,1000_snowflakes_2_attempt-2,2,10,True,,31,1
1000,1000_snowflakes_2_attempt-3,2,4,True,,25,1
1000,1000_snowflakes_2_attempt-4,2,3,True,,25,1
1000,1000_snowflakes_2_attempt-5,2,7,True,,25,1
1000,1000_snowflakes_2_attempt-6,2,4,True,,25,1
1000,1000_snowflakes_2_attempt-7,2,4,True,,25,1
1000,1000_snowflakes_2_attempt-8,2,4,True,,25,1
1000,1000_snowflakes_2_attempt-9,2,4,True,,25,1
10000,10000_snowflakes_0_attempt-0,0,4,True,,22,1
10000,10000_snowflakes_0_attempt-1,0,4,True,,37,1
10000,10000_snowflakes_0_attempt-2,0,4,True,,22,1
10000,10000_snowflakes_0_attempt-3,0,3,True,,22,1
10000,10000_snowflakes_0_attempt-4,0,3,True,,22,1
10000,10000_snowflakes_0_attempt-5,0,4,True,,37,1
10000,10000_snowflakes_0_attempt-6,0,4,True,,22,1
10000,10000_snowflakes_0_attempt-7,0,4,True,,37,1
10000,10000_snowflakes_0_attempt-8,0,4,True,,0,0
10000,10000_snowflakes_0_attempt-9,0,4,True,,22,1
10000,10000_snowflakes_1_attempt-0,1,4,True,,51,1
10000,10000_snowflakes_1_attempt-1,1,5,True,,36,1
10000,10000_snowflakes_1_attempt-2,1,4,True,,51,1
10000,10000_snowflakes_1_attempt-3,1,4,True,,51,1
10000,10000_snowflakes_1_attempt-4,1,5,True,,51,1
10000,10000_snowflakes_1_attempt-5,1,3,True,,51,1
10000,10000_snowflakes_1_attempt-6,1,4,True,,51,1
10000,10000_snowflakes_1_attempt-7,1,3,True,,0,0
10000,10000_snowflakes_1_attempt-8,1,4,True,,51,1
10000,10000_snowflakes_1_attempt-9,1,3,True,,63,1
10000,10000_snowflakes_2_attempt-0,2,3,True,,25,1
10000,10000_snowflakes_2_attempt-1,2,5,True,,31,1
10000,10000_snowflakes_2_attempt-2,2,5,True,,31,1
10000,10000_snowflakes_2_attempt-3,2,3,True,,0,0
10000,10000_snowflakes_2_attempt-4,2,4,True,,25,1
10000,10000_snowflakes_2_attempt-5,2,5,True,,25,1
10000,10000_snowflakes_2_attempt-6,2,4,True,,25,1
10000,10000_snowflakes_2_attempt-7,2,4,True,,25,1
10000,10000_snowflakes_2_attempt-8,2,4,True,,25,1
10000,10000_snowflakes_2_attempt-9,2,5,True,,25,1
50000,50000_snowflakes_0_attempt-0,0,5,True,,22,1
50000,50000_snowflakes_0_attempt-1,0,3,True,,22,1
50000,50000_snowflakes_0_attempt-2,0,3,True,,22,1
50000,50000_snowflakes_0_attempt-3,0,3,True,,37,1
50000,50000_snowflakes_0_attempt-4,0,4,True,,22,1
50000,50000_snowflakes_0_attempt-5,0,5,True,,22,1
50000,50000_snowflakes_0_attempt-6,0,4,True,,22,1
50000,50000_snowflakes_0_attempt-7,0,4,True,,30,1
50000,50000_snowflakes_0_attempt-8,0,4,True,,37,1
50000,50000_snowflakes_0_attempt-9,0,3,True,,37,1
50000,50000_snowflakes_1_attempt-0,1,3,True,,51,1
50000,50000_snowflakes_1_attempt-1,1,6,True,,51,1
50000,50000_snowflakes_1_attempt-2,1,4,True,,51,1
50000,50000_snowflakes_1_attempt-3,1,4,True,,51,1
50000,50000_snowflakes_1_attempt-4,1,5,True,,51,1
50000,50000_snowflakes_1_attempt-5,1,5,True,,51,1
50000,50000_snowflakes_1_attempt-6,1,3,True,,51,1
50000,50000_snowflakes_1_attempt-7,1,5,True,,51,1
50000,50000_snowflakes_1_attempt-8,1,5,True,,51,1
50000,50000_snowflakes_1_attempt-9,1,4,True,,51,1
50000,50000_snowflakes_2_attempt-0,2,4,True,,25,1
50000,50000_snowflakes_2_attempt-1,2,4,True,,25,1
50000,50000_snowflakes_2_attempt-2,2,4,True,,31,1
50000,50000_snowflakes_2_attempt-3,2,6,True,,25,1
50000,50000_snowflakes_2_attempt-4,2,3,True,,25,1
50000,50000_snowflakes_2_attempt-5,2,3,True,,0,0
50000,50000_snowflakes_2_attempt-6,2,3,True,,25,1
50000,50000_snowflakes_2_attempt-7,2,4,True,,25,1
50000,50000_snowflakes_2_attempt-8,2,3,True,,0,0
50000,50000_snowflakes_2_attempt-9,2,2,True,,0,0
